identifier	name
AT1G04150	AT1G04150
AT1G04160	AT1G04160
AT1G04170	AT1G04170
AT1G04180	AT1G04180
AT1G04190	AT1G04190
AT1G04200	AT1G04200
AT1G04210	AT1G04210
AT1G04220	AT1G04220
AT1G04230	AN1-LOCUS535
AT1G04240	AT1G04240
AT1G04250	AT1G04250
AT1G04260	AT1G04260
AT1G04270	AT1G04270
AT1G04280	AT1G04280
AT1G04290	F19P19-27
AT1G04300	AT1G04300
AT1G04310	AT1G04310
AT1G04330	AT1G04330
AT1G04340	AT1G04340
AT1G04350	AT1G04350
AT1G04360	AT1G04360
AT1G04370	AT1G04370
AT1G04380	AT1G04380
AT1G04390	AT1G04390
AT1G04400	AT1G04400
AT1G04410	AT1G04410
AT1G04420	AT1G04420
AT1G04430	AT1G04430
AT1G04440	AT1G04440
AT1G04445	F19P19-9
AT1G04450	AT1G04450
AT1G04455	AT1G04455
AT1G04470	AT1G04470
AT1G04480	AT1G04480
AT1G04490	AT1G04490
AT1G04500	AT1G04500
AT1G04510	AT1G04510
AT1G04520	AT1G04520
AT1G04530	AT1G04530
AT1G04540	T1G11-21
AT1G04550	AT1G04550
AT1G04555	AT1G04555
AT1G04560	AT1G04560
AT1G04570	AT1G04570
AT1G04580	AT1G04580
AT1G04590	T1G11-16
AT1G04600	AT1G04600
AT1G04610	AT1G04610
AT1G04620	AT1G04620
AT1G04625	AT1G04625
AT1G04630	AT1G04630
AT1G04635	AT1G04635
AT1G04640	AT1G04640
AT1G04645	AT1G04645
AT1G04650	AT1G04650
AT1G04660	AT1G04660
AT1G04670	AT1G04670
AT1G04680	AT1G04680
AT1G04690	AT1G04690
AT1G04700	AT1G04700
AT1G04710	AT1G04710
AT1G04730	AT1G04730
AT1G04750	AT1G04750
AT1G04760	AT1G04760
AT1G04770	AT1G04770
AT1G04778	AT1G04778
AT1G04780	AT1G04780
AT1G04790	AT1G04790
AT1G04800	AT1G04800
AT1G04810	AT1G04810
AT1G04820	AT1G04820
AT1G04830	AT1G04830
AT1G04840	AT1G04840
AT1G04850	AT1G04850
AT1G04860	AT1G04860
AT1G04870	AT1G04870
AT1G04880	AT1G04880
AT1G04890	AT1G04890
AT1G04895	AT1G04895
AT1G04900	AT1G04900
AT1G04910	AT1G04910
AT1G04920	AT1G04920
AT1G04930	AT1G04930
AT1G04945	AT1G04945
AT1G04940	AT1G04940
AT1G04950	AT1G04950
AT1G04960	AT1G04960
AT1G04970	AT1G04970
AT1G04980	AT1G04980
AT1G04985	AT1G04985
AT1G04990	F13M7-1
AT1G05000	AT1G05000
AT1G05005	AT1G05005
AT1G05010	AT1G05010
AT1G05020	AT1G05020
AT1G05030	AT1G05030
AT1G05035	AT1G05035
AT1G05040	T7A14-9
AT1G05055	AT1G05055
AT1G05060	T7A14-7
AT1G05065	AT1G05065
AT1G05070	T7A14-6
AT1G05080	T7A14-5
AT1G05085	AT1G05085
AT1G05087	AT1G05087
AT1G05090	AT1G05090
AT1G05100	AT1G05100
AT1G05120	AT1G05120
AT1G05136	AT1G05136
AT1G05140	AT1G05140
AT1G05150	AT1G05150
AT1G05160	AT1G05160
AT1G05170	AT1G05170
AT1G05180	AT1G05180
AT1G05190	AT1G05190
AT1G05200	AT1G05200
AT1G05205	AT1G05205
AT1G05210	AT1G05210
AT1G05220	YUP8H12-17
AT1G05230	AT1G05230
AT1G05240	AT1G05240
AT1G05250	AT1G05250
AT1G05260	PER3
AT1G05270	YUP8H12-12
AT1G05280	YUP8H12-11
AT1G05290	AT1G05290
AT1G05291	AT1G05291
AT1G05300	AT1G05300
AT1G05310	AT1G05310
AT1G05320	AT1G05320
AT1G05330	AT1G05330
AT1G05340	AT1G05340
AT1G05350	AT1G05350
AT1G05360	AT1G05360
AT1G05370	AT1G05370
AT1G05380	AT1G05380
AT1G05385	AT1G05385
AT1G05400	AT1G05400
AT1G05410	T25N20-6
AT1G05420	AT1G05420
AT1G05430	AT1G05430
AT1G05440	AT1G05440
AT1G05450	AT1G05450
AT1G05460	AT1G05460
AT1G05470	AT1G05470
AT1G05490	AT1G05490
AT1G05500	AT1G05500
AT1G05510	AT1G05510
AT1G05520	AT1G05520
AT1G05530	AT1G05530
AT1G05540	AT1G05540
AT1G05550	AT1G05550
AT1G05560	AT1G05560
AT1G05570	AT1G05570
AT1G05575	F3F20-22
AT1G05577	F3F20-2
AT1G05580	AT1G05580
AT1G05590	AT1G05590
AT1G05600	AT1G05600
AT1G05610	AT1G05610
AT1G05615	F3F20
AT1G05620	AT1G05620
AT1G05630	AT1G05630
AT1G05640	F3F20-9
AT1G05650	AT1G05650
AT1G05660	AT1G05660
AT1G05670	AT1G05670
AT1G05675	AT1G05675
AT1G05680	AT1G05680
AT1G05690	AT1G05690
AT1G05700	AT1G05700
AT1G05710	AT1G05710
AT1G05720	AT1G05720
AT1G05730	AT1G05730
AT1G05740	AT1G05740
AT1G05750	AT1G05750
AT1G05760	AT1G05760
AT1G05770	AT1G05770
AT1G05780	AT1G05780
AT1G05783	AT1G05783
AT1G05785	AT1G05785
AT1G05790	T20M3-5
AT1G05800	AT1G05800
AT1G05805	AT1G05805
AT1G05810	AT1G05810
AT1G05820	AT1G05820
AT1G05830	AT1G05830
AT1G05835	AT1G05835
AT1G05840	T20M3-11
AT1G05850	AT1G05850
AT1G05860	AT1G05860
AT1G05870	AT1G05870
AT1G05880	AT1G05880
AT1G05890	AT1G05890
AT1G05894	T20M3-17
AT1G05900	AT1G05900
AT1G05910	AT1G05910
AT1G05920	AT1G05920
AT1G05930	AT1G05930
AT1G05940	AT1G05940
AT1G05950	AT1G05950
AT1G05960	T21E18-21
AT1G05970	T21E18-3
AT1G05990	AT1G05990
AT1G06000	AT1G06000
AT1G06010	AT1G06010
AT1G06020	AT1G06020
AT1G06030	AT1G06030
AT1G06040	AT1G06040
AT1G06045	AT1G06045
AT1G06050	AT1G06050
AT1G06060	AT1G06060
AT1G06070	AT1G06070
AT1G06080	AT1G06080
AT1G06090	AT1G06090
AT1G06100	AT1G06100
AT1G06110	AT1G06110
AT1G06120	AT1G06120
AT1G06130	AT1G06130
AT1G06135	AT1G06135
AT1G06137	AT1G06137
AT1G06140	AT1G06140
AT1G06143	AT1G06143
AT1G06150	AT1G06150
AT1G06148	AT1G06148
AT1G06160	AT1G06160
AT1G06170	AT1G06170
AT1G06180	AT1G06180
AT1G06190	AT1G06190
AT1G06200	F9P14-6
AT1G06210	AT1G06210
AT1G06220	AT1G06220
AT1G06225	AT1G06225
AT1G06230	AT1G06230
AT1G06240	F9P14-10
AT1G06250	AT1G06250
AT1G06260	F9P14-12
AT1G06270	F9P14-13
AT1G06280	AT1G06280
AT1G06290	AT1G06290
AT1G06310	AT1G06310
AT1G06320	AT1G06320
AT1G06330	AT1G06330
AT1G06340	AT1G06340
AT1G06350	AT1G06350
AT1G06360	AT1G06360
AT1G06380	AT1G06380
AT1G06390	AT1G06390
AT1G06400	AT1G06400
AT1G06410	AT1G06410
AT1G06420	AT1G06420
AT1G06430	AT1G06430
AT1G06440	AT1G06440
AT1G06450	AT1G06450
AT1G06460	AT1G06460
AT1G06470	AT1G06470
AT1G06475	AT1G06475
AT1G06490	AT1G06490
AT1G06500	AT1G06500
AT1G06515	AT1G06515
AT1G06510	AT1G06510
AT1G06520	AT1G06520
AT1G06530	AT1G06530
AT1G06540	AT1G06540
AT1G06550	AT1G06550
AT1G06560	AT1G06560
AT1G06570	AT1G06570
AT1G06580	AT1G06580
AT1G06590	AT1G06590
AT1G06620	AT1G06620
AT1G06630	AT1G06630
AT1G06640	AT1G06640
AT1G06645	F12K11-6
AT1G06650	AT1G06650
AT1G06660	AT1G06660
AT1G06670	AT1G06670
AT1G06680	AT1G06680
AT1G06690	AT1G06690
AT1G06700	AT1G06700
AT1G06710	AT1G06710
AT1G06720	AT1G06720
AT1G06730	AT1G06730
AT1G06740	AT1G06740
AT1G06750	AT1G06750
AT1G06760	AT1G06760
AT1G06770	AT1G06770
AT1G06780	AT1G06780
AT1G06790	AT1G06790
AT1G06800	AT1G06800
AT1G06810	AT1G06810
AT1G06820	AT1G06820
AT1G06830	AT1G06830
AT1G06840	AT1G06840
AT1G06850	AT1G06850
AT1G06870	AT1G06870
AT1G06890	AT1G06890
AT1G06900	AT1G06900
AT1G06910	AT1G06910
AT1G06920	AT1G06920
AT1G06923	AT1G06923
AT1G06925	AT1G06925
AT1G06930	AT1G06930
AT1G06950	AT1G06950
AT1G06960	AT1G06960
AT1G06970	AT1G06970
AT1G06980	AT1G06980
AT1G06990	F10K1-29
AT1G07000	AT1G07000
AT1G07010	AT1G07010
AT1G07020	AT1G07020
AT1G07025	AT1G07025
AT1G07030	AT1G07030
AT1G07040	AT1G07040
AT1G07050	AT1G07050
AT1G07060	AT1G07060
AT1G07070	AT1G07070
AT1G07080	F10K1-21
AT1G07090	AT1G07090
AT1G07110	AT1G07110
AT1G07120	AT1G07120
AT1G07130	AT1G07130
AT1G07135	F10K1-16
AT1G07140	AT1G07140
AT1G07150	AT1G07150
AT1G07160	AT1G07160
AT1G07170	AT1G07170
AT1G07175	AT1G07175
AT1G07180	AT1G07180
AT1G07190	F10K1-10
AT1G07200	AT1G07200
AT1G07210	F10K1-8
AT1G07220	F10K1-7
AT1G07230	AT1G07230
AT1G07240	AT1G07240
AT1G07250	AT1G07250
AT1G07260	AT1G07260
AT1G07270	AT1G07270
AT1G07280	F22G5-38
AT1G07290	AT1G07290
AT1G07300	AT1G07300
AT1G07310	AT1G07310
AT1G07320	AT1G07320
AT1G07330	AT1G07330
AT1G07340	AT1G07340
AT1G07350	AT1G07350
AT1G07360	AT1G07360
AT1G07370	AT1G07370
AT1G07380	AT1G07380
AT1G07390	AT1G07390
AT1G07400	AT1G07400
AT1G07410	AT1G07410
AT1G07420	AT1G07420
AT1G07430	AT1G07430
AT1G07440	AT1G07440
AT1G07450	AT1G07450
AT1G07460	AT1G07460
AT1G07470	AT1G07470
AT1G07473	AT1G07473
AT1G07476	AT1G07476
AT1G07480	AT1G07480
AT1G07485	AT1G07485
AT1G07490	AT1G07490
AT1G07510	AT1G07510
AT1G07500	AT1G07500
AT1G07520	AT1G07520
AT1G07530	AT1G07530
AT1G07540	AT1G07540
AT1G07550	AT1G07550
AT1G07560	AT1G07560
AT1G07570	AT1G07570
AT1G07590	AT1G07590
AT1G07600	AT1G07600
AT1G07610	AT1G07610
AT1G07615	AT1G07615
AT1G07620	AT1G07620
AT1G07630	AT1G07630
AT1G07640	AT1G07640
AT1G07650	AT1G07650
AT1G07645	AT1G07645
AT1G07660	AT1G07660
AT1G07670	AT1G07670
AT1G07680	AT1G07680
AT1G07690	AT1G07690
AT1G07700	AT1G07700
AT1G07705	NOT2A
AT1G07710	AT1G07710
AT1G07720	AT1G07720
AT1G07725	AT1G07725
AT1G07740	AT1G07740
AT1G07730	AT1G07730
AT1G07745	AT1G07745
AT1G07747	AT1G07747
AT1G07750	AT1G07750
AT1G07770	AT1G07770
AT1G07780	AT1G07780
AT1G07790	AT1G07790
AT1G07795	AT1G07795
AT1G07810	AT1G07810
AT1G07820	AT1G07820
AT1G07830	AT1G07830
AT1G07840	AT1G07840
AT1G07850	AT1G07850
AT1G07870	AT1G07870
AT1G07860	AT1G07860
AT1G07880	AT1G07880
AT1G07885	AT1G07885
AT1G07890	AT1G07890
AT1G07900	AT1G07900
AT1G07902	AT1G07902
AT1G07901	AT1G07901
AT1G07910	AT1G07910
AT1G07920	AT1G07920
AT1G07930	AT1G07930
AT1G07940	AT1G07940
AT1G07950	AT1G07950
AT1G07960	AT1G07960
AT1G07970	AT1G07970
AT1G07980	AT1G07980
AT1G07985	AT1G07985
AT1G07990	T6D22-8
AT1G08000	AT1G08000
AT1G08005	AT1G08005
AT1G08010	AT1G08010
AT1G08030	AT1G08030
AT1G08035	AT1G08035
AT1G08040	T6D22-12
AT1G08050	AT1G08050
AT1G08060	AT1G08060
AT1G08065	AT1G08065
AT1G08070	AT1G08070
AT1G08080	AT1G08080
AT1G08090	AT1G08090
AT1G08100	AT1G08100
AT1G08110	AT1G08110
AT1G08120	T6D22-21
AT1G08125	AT1G08125
AT1G08130	AT1G08130
AT1G08135	AT1G08135
AT1G08140	AT1G08140
AT1G08150	AT1G08150
AT1G08160	AT1G08160
AT1G08165	AT1G08165
AT1G08170	AT1G08170
AT1G08180	AT1G08180
AT1G08190	AT1G08190
AT1G08200	AT1G08200
AT1G08210	AT1G08210
AT1G08220	T23G18-8
AT1G08230	AT1G08230
AT1G08250	AT1G08250
AT1G08260	AT1G08260
AT1G08270	AT1G08270
AT1G08280	AT1G08280
AT1G08290	AT1G08290
AT1G08300	AT1G08300
AT1G08310	T23G18-18
AT1G08315	AT1G08315
AT1G08320	AT1G08320
AT1G08340	AT1G08340
AT1G08350	AT1G08350
AT1G08360	AT1G08360
AT1G08370	AT1G08370
