p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
1.012554151485534e-11	0.17889993489669576	0.574	0.407	2.7975858651393816e-7	Meristematic cell	AT4G39690
1.0164616686510493e-11	0.2826178753889774	0.365	0.245	2.808381944315984e-7	Meristematic cell	AT1G22170
1.0239307109989515e-11	1.055508219836879	0.036	0.008	2.829018161419003e-7	Meristematic cell	AT3G10060
1.0244975528785709e-11	2.3038045845140847	0.016	0.001	2.8305842888482037e-7	Meristematic cell	AT1G77405
1.055730125669237e-11	0.5525570866071785	0.142	0.074	2.916876764211535e-7	Meristematic cell	AT4G25515
1.0584311286221437e-11	0.19645274137898738	0.755	0.632	2.924339365270121e-7	Meristematic cell	AT3G53730
1.0749432875768336e-11	0.24022414145342919	0.651	0.48	2.9699608092460337e-7	Meristematic cell	AT5G08450
1.0825127264374554e-11	0.11133122704899412	0.321	0.206	2.9908744118740455e-7	Meristematic cell	AT4G22350
1.102445070873952e-11	0.41658074581867854	0.437	0.303	3.045945486317642e-7	Meristematic cell	AT4G40042
1.1056564142101096e-11	0.3468241473100866	0.19	0.108	3.054818106821112e-7	Meristematic cell	AT3G19780
1.1316001030957917e-11	0.32154837181516793	0.264	0.164	3.126497924843363e-7	Meristematic cell	AT1G53490
1.1629060570349448e-11	0.7067980843611918	0.077	0.03	3.212993144981849e-7	Meristematic cell	AT3G15400
1.1765775173094265e-11	0.8982189622368892	0.05	0.015	3.250766022574214e-7	Meristematic cell	AT2G35155
1.18605089555811e-11	0.4633791064214643	0.16	0.086	3.276940019337502e-7	Meristematic cell	AT5G38590
1.2209393446584114e-11	0.1668850504758499	0.163	0.087	3.3733333153567245e-7	Meristematic cell	AT3G54790
1.2296295520854186e-11	1.834430435765932	0.023	0.003	3.397343489456803e-7	Meristematic cell	AT2G47910
1.2306939883819061e-11	0.29915475184895923	0.236	0.142	3.4002844205003685e-7	Meristematic cell	AT3G10390
1.2395399796350995e-11	0.4830004797125449	0.106	0.048	3.4247250097338166e-7	Meristematic cell	AT3G23930
1.263308354832842e-11	0.1990496476051209	0.532	0.372	3.490394653567659e-7	Meristematic cell	AT3G54085
1.2853067677431635e-11	2.9925439752093075	0.017	0.001	3.5511740685975864e-7	Meristematic cell	AT2G07806
1.3252760801332692e-11	0.1906220621615815	0.295	0.187	3.661605281800209e-7	Meristematic cell	AT5G23440
1.3645947457951496e-11	1.0490750240506959	0.057	0.018	3.770238823157419e-7	Meristematic cell	AT5G02120
1.3648012844039195e-11	0.1547593863884118	0.308	0.199	3.770809468679589e-7	Meristematic cell	AT4G38960
1.3776283539387648e-11	0.12201602595969918	0.279	0.174	3.8062493790974133e-7	Meristematic cell	AT2G46040
1.3800041564826749e-11	0.22101325429687146	0.521	0.358	3.8128134839459824e-7	Meristematic cell	AT3G26340
1.3826416306206111e-11	2.1274855562558983	0.022	0.002	3.8201005612416863e-7	Meristematic cell	AT1G52920
1.384363981175773e-11	0.2565072522908438	0.371	0.249	3.824859243590543e-7	Meristematic cell	AT5G40280
1.3878839921108102e-11	0.9932267886371644	0.04	0.01	3.8345846818029575e-7	Meristematic cell	AT3G58980
1.4406184301813309e-11	0.19082913602581897	0.391	0.26	3.980284660747999e-7	Meristematic cell	AT4G17310
1.4523766942642487e-11	0.5356088360482696	0.169	0.093	4.0127715685826927e-7	Meristematic cell	AT1G22460
1.4532600487641052e-11	0.16452323088125498	0.437	0.302	4.015212188730346e-7	Meristematic cell	AT4G35940
1.467420145286216e-11	3.054231279463105	0.018	0.001	4.0543351194112865e-7	Meristematic cell	AT5G14070
1.4683802339472024e-11	0.1712243922444019	0.484	0.34	4.0569877483727257e-7	Meristematic cell	AT1G32370
1.4754305991296876e-11	0.3325719845406361	0.382	0.264	4.0764672023354137e-7	Meristematic cell	AT3G23510
1.5193821673769176e-11	0.4911292997859844	0.132	0.066	4.197900990245686e-7	Meristematic cell	AT1G27980
1.5721120357169963e-11	0.3439392489540629	0.2	0.117	4.343588343482489e-7	Meristematic cell	AT5G54520
1.5735987662806773e-11	0.24080555440440632	0.531	0.379	4.3476960313568834e-7	Meristematic cell	AT1G63770
1.579703231326805e-11	1.7349109386201844	0.026	0.004	4.3645620578328295e-7	Meristematic cell	AT3G22150
1.6115171560889417e-11	0.9420809543767721	0.046	0.013	4.452460750558137e-7	Meristematic cell	AT4G10000
1.628552885098206e-11	0.1489513740739108	0.365	0.243	4.499528766237833e-7	Meristematic cell	AT1G79820
1.656523978953617e-11	0.18773359817541257	0.265	0.168	4.5768101014509486e-7	Meristematic cell	AT2G01420
1.696553642791425e-11	0.5196649685638066	0.118	0.056	4.687408059668428e-7	Meristematic cell	AT1G08180
1.698889768911882e-11	1.4833880943979478	0.058	0.02	4.693862542526639e-7	Meristematic cell	AT2G37210
1.7474502692055615e-11	1.982508668794667	0.029	0.005	4.828030348788046e-7	Meristematic cell	AT5G19170
1.7489557925622562e-11	0.37962886966389275	0.308	0.203	4.832189959270257e-7	Meristematic cell	AT3G10700
1.7573682740307028e-11	0.5477364277228842	0.101	0.045	4.855432804319429e-7	Meristematic cell	AT4G13150
1.758698331322428e-11	0.5624733619903992	0.091	0.039	4.859107619610736e-7	Meristematic cell	AT2G36630
1.7930554718177226e-11	0.15961307308690342	0.491	0.344	4.954032963085186e-7	Meristematic cell	AT4G23910
1.846846184589154e-11	0.1623207830100446	0.474	0.33	5.102651323401374e-7	Meristematic cell	AT3G20870
1.8506567212350904e-11	0.15799241736020564	0.436	0.299	5.113179455100431e-7	Meristematic cell	AT2G35330
1.8554871047850014e-11	0.5527355025263034	0.091	0.039	5.12652532181048e-7	Meristematic cell	AT1G61215
1.8878871056194865e-11	1.2420260959539426	0.061	0.021	5.21604328411608e-7	Meristematic cell	AT3G42640
1.8885678604557586e-11	1.503521109960606	0.057	0.019	5.217924141653216e-7	Meristematic cell	ATCG00570
1.9135582107195412e-11	0.9307851886952454	0.058	0.02	5.286969980397021e-7	Meristematic cell	AT2G27270
1.9161326516941762e-11	2.7859889316679167	0.026	0.004	5.29408290336584e-7	Meristematic cell	AT1G05577
1.9446653846020056e-11	0.5692093306844361	0.077	0.03	5.372915991116881e-7	Meristematic cell	AT2G16390
1.9700553029635413e-11	0.39654721266472936	0.088	0.036	5.443065796557968e-7	Meristematic cell	AT3G28050
1.978388598654117e-11	0.7168469781281477	0.122	0.061	5.46608985922146e-7	Meristematic cell	AT5G65560
1.998461873218804e-11	0.5887378679744257	0.168	0.094	5.521550309516233e-7	Meristematic cell	AT5G24830
2.0210409326585644e-11	0.10114492600482716	0.378	0.253	5.583933992842347e-7	Meristematic cell	AT5G63120
2.0702090371504114e-11	2.81766958747016	0.014	0	5.719780548742872e-7	Meristematic cell	AT3G14490
2.148776506231462e-11	0.3396030064731481	0.213	0.126	5.936854609066907e-7	Meristematic cell	AT5G18590
2.1507610268821904e-11	0.25343781737976245	0.854	0.675	5.942337641172804e-7	Meristematic cell	AT1G48160
2.164159293371809e-11	0.38363874563339184	0.225	0.135	5.979355711656971e-7	Meristematic cell	AT1G73460
2.2139121722220344e-11	0.5808751325169834	0.19	0.111	6.116817940632259e-7	Meristematic cell	AT2G23520
2.254500006398967e-11	0.5897539434979198	0.081	0.033	6.228958067679706e-7	Meristematic cell	AT2G18000
2.2819234432416477e-11	0.45612223144696795	0.066	0.024	6.304726281332349e-7	Meristematic cell	AT1G78955
2.3338973053356606e-11	0.31671573810095266	0.286	0.183	6.448324864911897e-7	Meristematic cell	AT4G11410
2.4842216504958103e-11	0.3626433961738935	0.248	0.155	6.863655998154874e-7	Meristematic cell	AT5G35210
2.486233151821279e-11	0.467024404061287	0.058	0.019	6.869213575167011e-7	Meristematic cell	AT3G23790
2.5001113025082957e-11	0.9263849852163881	0.099	0.045	6.90755751770017e-7	Meristematic cell	AT1G15790
2.5277739734415363e-11	0.17881063060310964	0.164	0.089	6.983986711221621e-7	Meristematic cell	AT1G08520
2.5324844703483104e-11	0.2488422870203464	0.263	0.165	6.997001343125346e-7	Meristematic cell	AT3G11560
2.5611904455901948e-11	0.2586745183908771	0.735	0.536	7.076313082121149e-7	Meristematic cell	AT2G35520
